DATA,ID_LOJA,NOME_LOJA,CONTAGEM_CLIENTES,VENDAS,DIA_SEMANA,FERIADO_NOME,EH_FERIADO,DATA_COMEMORATIVA,EH_COMEMORATIVA,IS_ZERO_CC,DIA_SEMANA_NUM,DIA_1,DIA_2,DIA_3,DIA_4,DIA_5,DIA_6,DIA_7,LOG_VENDAS,CONTAGEM_CLIENTES_AJUSTADA,IMPUTADO
2024-10-26,510,ITACOATIARA,1916.0,490.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.19644412779452,1916.0,0
2025-04-18,510,ITACOATIARA,672.0,181.0,Sexta-feira,Sexta-feira Santa,1.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.204006687076795,672.0,0
2022-09-05,510,ITACOATIARA,1535.0,467.0,Segunda-feira,Elevação do Amazonas à categoria de província,1.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.148468295917647,1535.0,0
2024-05-12,510,ITACOATIARA,444.0,187.0,Domingo,,0.0,Dia das Mães,1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.236441962829949,444.0,0
2025-08-04,510,ITACOATIARA,2578.0,724.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.586171654854675,2578.0,0
2023-05-15,510,ITACOATIARA,2334.0,514.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.244166900663736,2334.0,0
2024-10-19,510,ITACOATIARA,2466.0,627.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4425401664681985,2466.0,0
2025-05-19,510,ITACOATIARA,1943.0,400.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,1943.0,0
2025-04-03,510,ITACOATIARA,1836.0,487.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.1903154058531475,1836.0,0
2023-05-26,510,ITACOATIARA,2486.0,654.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.484635235635252,2486.0,0
2023-01-14,510,ITACOATIARA,1711.0,452.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.115892125483034,1711.0,0
2022-10-14,510,ITACOATIARA,2467.0,524.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.263398262591624,2467.0,0
2022-08-16,510,ITACOATIARA,2143.0,569.0,Terça-feira,,0.0,,0.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.345636360828596,2143.0,0
2024-05-13,510,ITACOATIARA,1237.0,429.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.063785208687608,1237.0,0
2023-06-30,510,ITACOATIARA,4566.0,1429.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.265429723253953,4566.0,0
2023-09-16,510,ITACOATIARA,1373.0,381.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.945420608606575,1373.0,0
2023-02-04,510,ITACOATIARA,2596.0,649.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.476972362889683,2596.0,0
2025-08-11,510,ITACOATIARA,2125.0,527.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.269096283706261,2125.0,0
2022-10-15,510,ITACOATIARA,2260.0,533.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.280395838960195,2260.0,0
2022-09-23,510,ITACOATIARA,2235.0,613.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.419994928147142,2235.0,0
2022-07-12,510,ITACOATIARA,1792.0,474.0,Terça-feira,,0.0,,0.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.163314804034641,1792.0,0
2024-11-24,510,ITACOATIARA,655.0,182.0,Domingo,,0.0,,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209486152841421,655.0,0
2024-02-08,510,ITACOATIARA,2039.0,483.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.182084906716632,2039.0,0
2022-08-11,510,ITACOATIARA,2169.0,608.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.411818267709897,2169.0,0
2023-11-08,510,ITACOATIARA,2308.0,634.0,Quarta-feira,,0.0,,0.0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.453624998892692,2308.0,0
2023-04-09,510,ITACOATIARA,495.0,158.0,Domingo,,0.0,,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0689042022202315,495.0,0
2022-07-18,510,ITACOATIARA,2097.0,503.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.222576268071369,2097.0,0
2024-12-24,510,ITACOATIARA,2347.0,661.0,Terça-feira,,0.0,Véspera de Natal,1.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.495265555937008,2347.0,0
2024-07-29,510,ITACOATIARA,2948.0,830.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.7226297948554485,2948.0,0
2024-10-10,510,ITACOATIARA,2086.0,472.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.159095388491933,2086.0,0
2024-01-27,510,ITACOATIARA,1578.0,366.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.905361848054571,1578.0,0
2025-06-01,510,ITACOATIARA,719.0,185.0,Domingo,,0.0,,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.225746673713202,719.0,0
2024-07-13,510,ITACOATIARA,1377.0,326.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7899601708972535,1377.0,0
2024-04-05,510,ITACOATIARA,2456.0,635.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.455198563340122,2456.0,0
2023-08-08,510,ITACOATIARA,2253.0,545.0,Terça-feira,,0.0,,0.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.302618975744905,2253.0,0
2023-09-15,510,ITACOATIARA,1701.0,432.0,Sexta-feira,,0.0,Dia do Cliente,1.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.07073772800249,1701.0,0
2022-12-09,510,ITACOATIARA,2175.0,620.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.431331081933479,2175.0,0
2022-11-20,510,ITACOATIARA,751.0,202.0,Domingo,Consciência Negra,1.0,,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313205979041787,751.0,0
2024-11-01,510,ITACOATIARA,1672.0,427.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.059123195581797,1672.0,0
2023-11-01,510,ITACOATIARA,1997.0,508.0,Quarta-feira,,0.0,,0.0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2324480165505225,1997.0,0
2025-06-26,510,ITACOATIARA,2767.0,691.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.539585955617669,2767.0,0
2024-03-07,510,ITACOATIARA,2340.0,609.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.413458957167357,2340.0,0
2025-02-25,510,ITACOATIARA,2074.0,466.0,Terça-feira,,0.0,,0.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.1463292576688975,2074.0,0
2025-04-30,510,ITACOATIARA,3411.0,925.0,Quarta-feira,,0.0,,0.0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.8308742346461795,3411.0,0
2022-12-02,510,ITACOATIARA,2417.0,576.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.3578422665081,2417.0,0
2024-02-19,510,ITACOATIARA,2492.0,542.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.297109319933935,2492.0,0
2023-09-25,510,ITACOATIARA,2291.0,595.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.39024066706535,2291.0,0
2025-06-17,510,ITACOATIARA,1816.0,474.0,Terça-feira,,0.0,,0.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.163314804034641,1816.0,0
2025-03-01,510,ITACOATIARA,2793.0,816.0,Sábado,,0.0,,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.705639094860003,2793.0,0
2023-06-20,510,ITACOATIARA,2096.0,546.0,Terça-feira,,0.0,,0.0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.304448802421981,2096.0,0
2023-12-21,510,ITACOATIARA,2835.0,776.0,Quinta-feira,,0.0,,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.655440350367647,2835.0,0
2023-11-06,510,ITACOATIARA,3124.0,672.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.511745329644728,3124.0,0
2023-03-13,510,ITACOATIARA,2221.0,472.0,Segunda-feira,,0.0,,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.159095388491933,2221.0,0
2023-12-29,510,ITACOATIARA,2777.0,698.0,Sexta-feira,,0.0,,0.0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.54965074223381,2777.0,0
